map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000010,1,16000012,16000005,16000004,16000095,16000023,16000014,20260406T172342.000Z
15000010,1,16000012,16000005,16000004,16000095,16000023,16000014,20260406T172100.000Z
15000083,1,16000047,16000042,16000023,16000046,16000099,16000012,20260406T171601.000Z
15000083,1,16000047,16000042,16000023,16000046,16000099,16000012,20260406T171408.000Z
15000025,0,16000030,16000005,16000077,16000067,16000099,16000063,20260406T170902.000Z
15000025,0,16000030,16000005,16000077,16000067,16000099,16000063,20260406T170545.000Z
15000115,1,16000057,16000063,16000028,16000085,16000083,16000012,20260406T160943.000Z
15000115,1,16000057,16000063,16000028,16000085,16000083,16000012,20260406T160641.000Z
15000132,1,16000102,16000059,16000012,16000002,16000063,16000030,20260406T155655.000Z
15000132,1,16000102,16000059,16000012,16000002,16000063,16000030,20260406T155435.000Z
15000306,1,16000085,16000012,16000014,16000030,16000098,16000005,20260406T155052.000Z
15000306,1,16000085,16000012,16000014,16000030,16000098,16000005,20260406T154837.000Z
15000022,0,16000072,16000102,16000019,16000021,16000061,16000012,20260406T154315.000Z
15000022,1,16000072,16000102,16000019,16000021,16000061,16000012,20260406T154056.000Z
15000022,0,16000072,16000102,16000019,16000021,16000061,16000012,20260406T153838.000Z
15000007,1,16000012,16000057,16000026,16000021,16000023,16000014,20260406T153027.000Z
15000007,1,16000012,16000057,16000026,16000021,16000023,16000014,20260406T152833.000Z
15000007,0,16000012,16000057,16000026,16000021,16000023,16000014,20260406T152631.000Z
15000440,1,16000067,16000023,16000099,16000012,16000063,16000048,20260406T152130.000Z
15000440,1,16000067,16000023,16000099,16000012,16000063,16000048,20260406T151926.000Z
15000022,0,16000103,16000036,16000011,16000003,16000089,16000098,20260406T151319.000Z
15000022,1,16000103,16000036,16000011,16000003,16000089,16000098,20260406T151100.000Z
15000022,0,16000103,16000036,16000011,16000003,16000089,16000098,20260406T150840.000Z
15000132,1,16000002,16000023,16000001,16000004,16000011,16000026,20260406T150425.000Z
15000132,1,16000002,16000023,16000001,16000004,16000011,16000026,20260406T150237.000Z
15000118,1,16000067,16000049,16000004,16000059,16000001,16000023,20260406T174801.000Z
15000118,1,16000067,16000049,16000004,16000059,16000001,16000023,20260406T174512.000Z
15000022,0,16000064,16000094,16000061,16000023,16000042,16000074,20260406T010554.000Z
15000022,0,16000064,16000094,16000061,16000023,16000042,16000074,20260406T010336.000Z
15000022,1,16000064,16000094,16000061,16000023,16000042,16000074,20260406T010137.000Z
15000300,0,16000023,16000069,16000042,16000012,16000085,16000019,20260406T004923.000Z
15000300,0,16000023,16000069,16000042,16000012,16000085,16000019,20260406T004651.000Z
15000025,1,16000012,16000067,16000005,16000004,16000089,16000023,20260406T003727.000Z
15000025,1,16000012,16000067,16000005,16000004,16000089,16000023,20260406T003535.000Z
15000019,1,16000005,16000099,16000004,16000012,16000025,16000001,20260406T002822.000Z
15000019,1,16000005,16000099,16000004,16000012,16000025,16000001,20260406T002540.000Z
15000440,1,16000085,16000087,16000076,16000001,16000098,16000021,20260406T001948.000Z
15000440,1,16000085,16000087,16000076,16000001,16000098,16000021,20260406T001628.000Z
15000292,1,16000002,16000092,16000012,16000023,16000014,16000011,20260406T001132.000Z
15000292,1,16000002,16000092,16000012,16000023,16000014,16000011,20260406T001001.000Z
15000292,0,16000077,16000063,16000030,16000012,16000014,16000006,20260406T043026.000Z
15000292,0,16000077,16000063,16000030,16000012,16000014,16000006,20260406T042805.000Z
15000019,0,16000001,16000075,16000019,16000012,16000046,16000002,20260406T042127.000Z
15000019,0,16000001,16000075,16000019,16000012,16000046,16000002,20260406T041922.000Z
15000053,0,16000008,16000081,16000075,16000026,16000059,16000070,20260406T041235.000Z
15000053,0,16000008,16000081,16000075,16000026,16000059,16000070,20260406T041116.000Z
15000018,1,16000002,16000083,16000001,16000095,16000094,16000012,20260406T040505.000Z
15000018,1,16000002,16000083,16000001,16000095,16000094,16000012,20260406T040247.000Z
15001021,1,16000002,16000083,16000005,16000001,16000025,16000044,20260406T035656.000Z
15001021,1,16000002,16000083,16000005,16000001,16000025,16000044,20260406T035344.000Z
15001021,0,16000002,16000083,16000005,16000001,16000025,16000044,20260406T035134.000Z
15000082,1,16000002,16000012,16000023,16000083,16000021,16000089,20260406T034354.000Z
15000082,1,16000002,16000012,16000023,16000083,16000021,16000089,20260406T034136.000Z
15000082,0,16000002,16000012,16000023,16000083,16000021,16000089,20260406T033938.000Z
